"last_name, first_name",player_id,year,eye
"Abrams, CJ",682928,2023,Brown
"Abreu, José",547989,2021,Brown
"Abreu, José",547989,2022,Brown
"Abreu, José",547989,2023,Brown
"Acuña Jr., Ronald",660670,2022,Brown
"Acuña Jr., Ronald",660670,2023,Brown
"Adames, Willy",642715,2021,Brown
"Adames, Willy",642715,2022,Brown
"Adames, Willy",642715,2023,Brown
"Aguilar, Jesús",542583,2021,Brown
"Aguilar, Jesús",542583,2022,Brown
"Albies, Ozzie",645277,2021,Brown
"Albies, Ozzie",645277,2023,Brown
"Alonso, Pete",624413,2021,Blue
"Alonso, Pete",624413,2022,Blue
"Alonso, Pete",624413,2023,Blue
"Altuve, Jose",514888,2021,Brown
"Altuve, Jose",514888,2022,Brown
"Alvarez, Yordan",670541,2021,Brown
"Alvarez, Yordan",670541,2022,Brown
"Anderson, Tim",641313,2021,Brown
"Anderson, Tim",641313,2023,Brown
"Andrus, Elvis",462101,2021,Brown
"Andrus, Elvis",462101,2022,Brown
"Arcia, Orlando",606115,2023,Brown
"Arenado, Nolan",571448,2021,Brown
"Arenado, Nolan",571448,2022,Brown
"Arenado, Nolan",571448,2023,Brown
"Arozarena, Randy",668227,2021,Brown
"Arozarena, Randy",668227,2022,Brown
"Arozarena, Randy",668227,2023,Brown
"Arraez, Luis",650333,2022,Brown
"Arraez, Luis",650333,2023,Brown
"Báez, Javier",595879,2021,Brown
"Báez, Javier",595879,2022,Brown
"Báez, Javier",595879,2023,Brown
"Bell, Josh",605137,2021,Brown
"Bell, Josh",605137,2022,Brown
"Bell, Josh",605137,2023,Brown
"Bellinger, Cody",641355,2022,Brown
"Bellinger, Cody",641355,2023,Brown
"Benintendi, Andrew",643217,2021,Brown
"Benintendi, Andrew",643217,2022,Brown
"Benintendi, Andrew",643217,2023,Brown
"Betts, Mookie",605141,2021,Brown
"Betts, Mookie",605141,2022,Brown
"Betts, Mookie",605141,2023,Brown
"Bichette, Bo",666182,2021,Brown
"Bichette, Bo",666182,2022,Brown
"Bichette, Bo",666182,2023,Brown
"Blackmon, Charlie",453568,2021,Gray
"Blackmon, Charlie",453568,2022,Gray
"Bogaerts, Xander",593428,2021,Brown
"Bogaerts, Xander",593428,2022,Brown
"Bogaerts, Xander",593428,2023,Brown
"Bohm, Alec",664761,2022,Blue
"Bohm, Alec",664761,2023,Blue
"Brantley Jr., Michael",488726,2021,Brown
"Bregman, Alex",608324,2022,Gray
"Bregman, Alex",608324,2023,Gray
"Brown, Seth",664913,2022,Blue
"Bryant, Kris",592178,2021,Blue
"Burger, Jake",669394,2023,Brown
"Cabrera, Miguel",408234,2021,Brown
"Candelario, Jeimer",600869,2021,Brown
"Candelario, Jeimer",600869,2023,Brown
"Canha, Mark",592192,2021,Brown
"Canha, Mark",592192,2022,Brown
"Canha, Mark",592192,2023,Brown
"Carlson, Dylan",666185,2021,Brown
"Carroll, Corbin",682998,2023,Brown
"Castellanos, Nick",592206,2021,Brown
"Castellanos, Nick",592206,2022,Brown
"Castellanos, Nick",592206,2023,Brown
"Chapman, Matt",656305,2021,Brown
"Chapman, Matt",656305,2022,Brown
"Chapman, Matt",656305,2023,Brown
"Chisholm Jr., Jazz",665862,2021,Brown
"Contreras, William",661388,2023,Brown
"Correa, Carlos",621043,2021,Brown
"Correa, Carlos",621043,2022,Brown
"Correa, Carlos",621043,2023,Brown
"Crawford, Brandon",543063,2021,Blue
"Crawford, J.P.",641487,2021,Brown
"Crawford, J.P.",641487,2022,Brown
"Crawford, J.P.",641487,2023,Brown
"Cron, C.J.",543068,2021,Brown
"Cron, C.J.",543068,2022,Brown
"Cronenworth, Jake",630105,2021,Blue
"Cronenworth, Jake",630105,2022,Blue
"Cronenworth, Jake",630105,2023,Blue
"Cruz Jr., Nelson",443558,2021,Brown
"Cruz Jr., Nelson",443558,2022,Brown
"Davis, J.D.",605204,2023,Brown
"De La Cruz, Bryan",650559,2023,Brown
